institution,unitid,year,admission_rate,avg_net_price,enrollment_total,grad_rate_150,retention_rate_ft,tuition_fees
Berklee College of Music,164748,2012,43.25,41798,4447,59.62,96.13,36490
Berklee College of Music,164748,2013,36.17,43018,4402,49.63,82.01,37586
Berklee College of Music,164748,2014,40.38,46351,4743,48.74,83.59,38910
Berklee College of Music,164748,2015,28.81,48310,5112,56.35,86.8,40082
Berklee College of Music,164748,2016,33.84,45107,5972,61.34,83.63,41398
Berklee College of Music,164748,2017,52.52,47270,6197,64.03,83.82,42750
Berklee College of Music,164748,2018,47.64,48425,6332,63.57,85.27,44140
Berklee College of Music,164748,2019,51.44,49514,6338,65.18,86.04,45660
Berklee College of Music,164748,2020,51.6,46805,5951,65.13,74.92,45660
Berklee College of Music,164748,2021,55.17,45467,7126,66.96,82.03,46800
Berklee College of Music,164748,2022,54.23,49230,7395,68.59,83.97,48330
Curtis Institute of Music,211893,2012,11.07,11546,125,100.0,95.65,2350
Curtis Institute of Music,211893,2013,4.84,2584,122,100.0,89.29,2425
Curtis Institute of Music,211893,2014,5.05,8171,132,53.85,100.0,2475
Curtis Institute of Music,211893,2015,4.44,7393,130,86.36,100.0,2525
Curtis Institute of Music,211893,2016,4.21,11408,131,68.42,95.0,2525
Curtis Institute of Music,211893,2017,3.3,15598,131,78.26,100.0,2675
Curtis Institute of Music,211893,2018,4.55,18232,130,64.29,100.0,2900
Curtis Institute of Music,211893,2019,3.93,17668,131,68.97,100.0,2900
Curtis Institute of Music,211893,2020,2.44,10097,113,84.62,100.0,3015
Curtis Institute of Music,211893,2021,4.8,19937,109,80.95,90.0,5015
Curtis Institute of Music,211893,2022,9.66,27946,103,83.33,100.0,5930
Manhattan School of Music,192712,2012,36.95,34960,391,79.01,85.71,35140
Manhattan School of Music,192712,2013,34.31,37813,377,72.13,89.53,36500
Manhattan School of Music,192712,2014,44.82,37753,389,71.84,81.48,37750
Manhattan School of Music,192712,2015,46.07,36912,410,78.75,92.04,42600
Manhattan School of Music,192712,2016,46.27,44554,457,100.0,93.07,44600
Manhattan School of Music,192712,2017,42.87,46324,488,69.39,96.15,44600
Manhattan School of Music,192712,2018,37.84,45952,511,77.91,88.7,47300
Manhattan School of Music,192712,2019,35.54,54902,518,87.65,90.43,49130
Manhattan School of Music,192712,2020,41.56,19111,497,74.34,97.39,49270
Manhattan School of Music,192712,2021,48.99,47969,489,72.32,85.95,50840
Manhattan School of Music,192712,2022,55.01,51067,503,79.19,86.78,52550
New England Conservatory,167057,2012,29.52,37800,419,82.67,98.85,38455
New England Conservatory,167057,2013,27.77,35849,410,85.88,93.94,39955
New England Conservatory,167057,2014,29.14,40060,389,87.5,92.47,41405
New England Conservatory,167057,2015,32.39,36531,377,84.26,87.67,43055
New England Conservatory,167057,2016,35.43,37292,387,81.25,89.53,44755
New England Conservatory,167057,2017,32.81,37507,413,79.57,92.5,46930
New England Conservatory,167057,2018,36.47,43712,445,85.0,91.67,48750
New England Conservatory,167057,2019,36.94,43830,475,80.65,90.74,50460
New England Conservatory,167057,2020,36.27,46080,386,70.67,82.05,52440
New England Conservatory,167057,2021,43.28,29481,405,82.56,91.46,53730
New England Conservatory,167057,2022,37.55,32148,363,80.99,92.86,55910
The Juilliard School,192110,2012,7.16,26587,508,91.67,98.02,35140
The Juilliard School,192110,2013,7.34,28537,498,87.74,94.44,36720
The Juilliard School,192110,2014,8.43,28268,509,83.9,98.17,38190
The Juilliard School,192110,2015,6.43,28564,489,92.16,97.67,39720
The Juilliard School,192110,2016,6.17,27715,499,92.37,96.33,41310
The Juilliard School,192110,2017,5.92,35019,486,95.05,92.92,43170
The Juilliard School,192110,2018,7.62,29511,487,87.96,96.36,45110
The Juilliard School,192110,2019,6.88,33535,486,96.33,95.04,47370
The Juilliard School,192110,2020,7.64,37537,492,93.75,93.97,49260
The Juilliard School,192110,2021,7.43,37344,487,87.16,96.0,51230
The Juilliard School,192110,2022,10.61,41024,476,89.29,99.09,52500
